taxonomy,id,name,slug,post_count,parent_id,spacy_entity,spacy_normalized,wikidata_id,wikidata_label,wikidata_description
post_tag,1570,#18DaysInEgypt,18daysinegypt,1,0,MISC,18Days In Egypt,,,
post_tag,1571,#idocs,idocs,1,0,,idocs,Q24301388,A Wrinkle in Time,2018 film directed by Ava DuVernay
post_tag,1409,#mc11,mc11,1,0,MISC,mc11,Q54904193,MC116,cell line
post_tag,1410,#mc12,mc12,1,0,PERSON,mc12,Q112692640,World Trade Organization Ministerial Conference of 2022,"WTO trade conference in Geneva, Switzerland"
post_tag,1411,#mc13,mc13,1,0,LOC,mc13,Q3080207,MC-130 Hercules,airlifter series by Lockheed
post_tag,143,.bat,bat,1,0,,bat,Q22889,Bath,"city in Somerset, England, United Kingdom"
post_tag,144,.exe,exe,1,0,ORG,exe,Q134672,Exeter,"city in Devon, England"
post_tag,357,.htpasswd,htpasswd,2,0,PERSON,htpasswd,Q107387213,htpasswd,Python library
post_tag,371,.info,info,1,0,,info,Q709353,GNU Info,"stand-alone program, part of the Texinfo distribution, which is used to view Info files on a text terminal"
post_tag,1801,11 mars 2011,11-mars-2011,1,0,,11 mars 2011,Q22664270,"March 11, 2011",Friday in March 2011
post_tag,1296,17 octobre 1961,17-octobre-1961,3,0,,17 octobre 1961,Q200472,Paris massacre of 1961,"a crime committed in 1961 by the French National Police against hundreds of French Algerians, which was kept secret for decades"
post_tag,1747,1962,1962,1,0,,1962,Q2764,1962,year
post_tag,852,2010,2010,1,0,,2010,Q1995,2010,calendar year
post_tag,1412,2012,2012,1,0,,2012,Q1990,2012,year
post_tag,999,22 mars,22-mars,1,0,,22 mars,Q2435,March 22,day of the year
post_tag,1460,3 singes productions,3-singes-productions,1,0,,3 singes productions,,,
post_tag,2059,37signals,37signals,1,0,,37signals,Q2364173,Basecamp,American business
post_tag,1790,3D,3d,2,0,MISC,3D,Q34929,three-dimensional space,geometric model in which a point is specified by three parameters
post_tag,578,3WDOC,3wdoc,52,0,,3WDOC,,,
post_tag,1023,3WDOC Studio,3wdoc-studio,41,0,ORG,3WDOC Studio,,,
post_tag,1506,3WOC,3woc,1,0,,3WOC,,,
post_tag,952,4x5 inches,4x5-inches,1,0,,4x5 inches,,,
post_tag,361,5.x,5x,1,0,,5 x,Q100149475,5 × CD,music release comprised of five compact discs
post_tag,362,6.x,6x,1,0,,6 x,Q100152627,6 × CD,music release comprised of six compact discs
post_tag,1039,A navalla suiza,a-navalla-suiza,2,0,PERSON,A navalla suiza,Q12382300,A Navalla Suíza,
post_tag,1315,abel ségrétin,abel-segretin,1,0,PERSON,abel ségrétin,,,
post_tag,1197,absurde,absurde,1,0,,absurde,Q430727,absurdity,"extremely unreasonable, so as to be foolish or not taken seriously"
post_tag,2319,Accelerated Mobile Pages,accelerated-mobile-pages,1,0,MISC,Accelerated Mobile Pages,Q25452619,Accelerated Mobile Pages,website publishing technology developed by Google
post_tag,2235,Accessibilité,accessibilite,1,0,LOC,Accessibilité,Q555097,accessibility,"design approach that enables people to perceive, understand, and use digital or physical products"
post_tag,1122,account,account,17,0,,account,Q899474,Accounts of Chemical Research,scientific Journal
post_tag,502,action,action,37,0,,action,Q1914636,activity,series of actions done by an agent which results in an external change of state
post_tag,1000,actions,actions,1,0,,actions,Q826745,humanitarian aid,material or logistical assistance for people in need
post_tag,166,actionscript,actionscript,9,0,,actionscript,Q234657,ActionScript,object-oriented programming language
post_tag,1266,add track,add-track,2,0,,add track,,,
post_tag,2397,Admin,admin,2,0,MISC,Admin,Q4039395,Project:Administrators,Wikimedia project page regarding administrators
post_tag,419,Administration,administration,2,0,ORG,Administration,Q5283295,administration,management of organization
post_tag,231,Administrer,administrer,1,0,LOC,Administrer,Q484876,chief executive officer,highest-ranking corporate officer
post_tag,484,admob,admob,1,0,,admob,Q1318441,AdMob,mobile advertising company
post_tag,299,Adobe,adobe,6,0,ORG,Adobe,Q11463,Adobe,American multinational computer software company
post_tag,863,Adolph Zukor,adolph-zukor,1,0,PERSON,Adolph Zukor,Q361208,Adolph Zukor,Hungarian-American film producer (1873–1976)
post_tag,119,adresse IP,adresse-ip,1,0,MISC,adresse IP,Q11135,IP address,label used to identify a network interface of a computer or other network node
post_tag,100,Adsense,adsense,3,0,MISC,Adsense,Q183480,Google AdSense,online platform for targeted advertisements
