text,label
"Wall St. Bears Claw Back Into the Black (Reuters) Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again.",2
"Carlyle Looks Toward Commercial Aerospace (Reuters) Reuters - Private investment firm Carlyle Group,\which has a reputation for making well-timed and occasionally\controversial plays in the defense industry, has quietly placed\its bets on another part of the market.",2
Oil and Economy Cloud Stocks' Outlook (Reuters) Reuters - Soaring crude prices plus worries\about the economy and the outlook for earnings are expected to\hang over the stock market next week during the depth of the\summer doldrums.,2
"Iraq Halts Oil Exports from Main Southern Pipeline (Reuters) Reuters - Authorities have halted oil export\flows from the main pipeline in southern Iraq after\intelligence showed a rebel militia could strike\infrastructure, an oil official said on Saturday.",2
"Oil prices soar to all-time record, posing new menace to US economy (AFP) AFP - Tearaway world oil prices, toppling records and straining wallets, present a new economic menace barely three months before the US presidential elections.",2
"South Carolinian may be tapped for top NASA job Retired Marine Maj. Gen. Charles F. Bolden Jr., a former space shuttle astronaut from South Carolina for whom the new military elementary school at Laurel Bay north of Beaufort was named ",3
Adobe patches holes in Acrobat Reader Adobe has patched two bugs in its Acrobat Reader application that could allow an attacker to take over a user #39;s system via a malicious PDF attached to an e-mail message.,3
Gullivers Travel Associates for \$1.1 billion in cash.,2
"Travis Perkins to buy Wickes for 950m British building materials merchant Travis Perkins Plc said on Thursday it agreed to pay 950 million (\$1.84 billion) for home-improvement chain Wickes, sending its shares down nearly 3 percent.",2
"Bin Laden Alive, Releases Audio Tape -- Web Site An audio recording purportedly by Osama bin Laden, praising gunmen who carried out a Dec. 6 attack in Saudi Arabia, was posted on the Internet on Thursday, suggesting the al Qaeda leader is still alive.",0
Give Your Home a Brain for X-mas X10's ActiveHome Pro modules let you turn your ordinary household lamps and appliances into smart devices that go on and off according to your habits. Product review by Amit Asaravala.,3
"Koivu Says Next NHL Season Also at Risk -- Paper  HELSINKI (Reuters) - The prospects of saving the National  Hockey League (NHL) season are grim and unless owners and  players start talking soon to end a lockout the 2005-2006  season is also at risk, Montreal's Saku Koivu said.",1
"HP, Intel dissolve Itanium partnership Hewlett-Packard Co., the No. 2 maker of personal computers, is retreating from its involvement in developing the Itanium computer chip with Intel Corp.",3
Seeking a little iPod 101? A few tips on this hot gift Millions of people will buy or receive Apple Computers iPod digital-music players this holiday season. They are beautifully designed and easy to use.,3
Call him Jolly Ol #39; St. Rick It took all of about five minutes of an introductory press conference Wednesday at Heritage Hall for USC basketball to gain something it never really had before.,1
"Johnson lifts Suns past Jazz Every other Suns starter has had his turn to shine in this season #39;s supernova. It was just a matter of time before Johnson stepped into the role of leading man, too.",1
