Unnamed: 0,text,category_predicted,category_decision
0,"Wall St. Bears Claw Back Into the Black (Reuters) Reuters - Short-sellers, Wall Street's dwindling\band of ultra-cynics, are seeing green again.",Business,"This news text discusses the financial performance of short-sellers in the stock market, making it a Business category."
1,"Carlyle Looks Toward Commercial Aerospace (Reuters) Reuters - Private investment firm Carlyle Group,\which has a reputation for making well-timed and occasionally\controversial plays in the defense industry, has quietly placed\its bets on another part of the market.",Business,: The given news text is about a business matter involving the Carlyle Group making investments in commercial aerospace.
2,Oil and Economy Cloud Stocks' Outlook (Reuters) Reuters - Soaring crude prices plus worries\about the economy and the outlook for earnings are expected to\hang over the stock market next week during the depth of the\summer doldrums.,Business,"This news text discusses the impact of oil prices and economic concerns on the stock market, making it a Business category."
3,"Iraq Halts Oil Exports from Main Southern Pipeline (Reuters) Reuters - Authorities have halted oil export\flows from the main pipeline in southern Iraq after\intelligence showed a rebel militia could strike\infrastructure, an oil official said on Saturday.",Middle East,: This news article is related to the Middle East region as it mentions Iraq and its oil exports.
4,"Oil prices soar to all-time record, posing new menace to US economy (AFP) AFP - Tearaway world oil prices, toppling records and straining wallets, present a new economic menace barely three months before the US presidential elections.",Economy,: The given news text discusses the impact of soaring oil prices on the economy.
0,"South Carolinian may be tapped for top NASA job Retired Marine Maj. Gen. Charles F. Bolden Jr., a former space shuttle astronaut from South Carolina for whom the new military elementary school at Laurel Bay north of Beaufort was named ",Space,This news text falls under the Space category as it mentions a possible NASA job appointment for a retired Marine Major General who is also a former space shuttle astronaut from South Carolina.
1,Adobe patches holes in Acrobat Reader Adobe has patched two bugs in its Acrobat Reader application that could allow an attacker to take over a user #39;s system via a malicious PDF attached to an e-mail message.,Cybersecurity,"This news article discusses the patching of vulnerabilities in Adobe's Acrobat Reader application, which is a cybersecurity issue."
2,Gullivers Travel Associates for \$1.1 billion in cash.,Business,"This news text can be classified as Business news, specifically about a business deal or transaction involving a significant amount of money."
3,"Travis Perkins to buy Wickes for 950m British building materials merchant Travis Perkins Plc said on Thursday it agreed to pay 950 million (\$1.84 billion) for home-improvement chain Wickes, sending its shares down nearly 3 percent.",Business,This news text can be classified as 'Business' as it reports a business transaction between two companies.
4,"Bin Laden Alive, Releases Audio Tape -- Web Site An audio recording purportedly by Osama bin Laden, praising gunmen who carried out a Dec. 6 attack in Saudi Arabia, was posted on the Internet on Thursday, suggesting the al Qaeda leader is still alive.",Terrorism,"The news text suggests Osama bin Laden, who is associated with terrorism through his leadership of Al-Qaeda, is allegedly still alive and has released an audio tape. Therefore, it can be classified as a 'Terrorism' news text."
0,Give Your Home a Brain for X-mas X10's ActiveHome Pro modules let you turn your ordinary household lamps and appliances into smart devices that go on and off according to your habits. Product review by Amit Asaravala.,Technology,This news text is about a technology product review.
1,"Koivu Says Next NHL Season Also at Risk -- Paper  HELSINKI (Reuters) - The prospects of saving the National  Hockey League (NHL) season are grim and unless owners and  players start talking soon to end a lockout the 2005-2006  season is also at risk, Montreal's Saku Koivu said.",Sports,"This news article discusses sports-related issues, specifically the NHL and its lockout, making it categorically a Sports news article."
2,"HP, Intel dissolve Itanium partnership Hewlett-Packard Co., the No. 2 maker of personal computers, is retreating from its involvement in developing the Itanium computer chip with Intel Corp.",Technology,"This news text falls under the Technology category as it involves the dissolution of a partnership between two technology companies, HP and Intel, related to the development of Itanium computer chips."
3,Seeking a little iPod 101? A few tips on this hot gift Millions of people will buy or receive Apple Computers iPod digital-music players this holiday season. They are beautifully designed and easy to use.,Technology,"This news text is about the Apple iPod, which is a technology product, specifically a digital music player."
4,Call him Jolly Ol #39; St. Rick It took all of about five minutes of an introductory press conference Wednesday at Heritage Hall for USC basketball to gain something it never really had before.,Sports,": This text pertains to a sports-related news article, specifically about USC basketball."
