taxonomy,id,name,slug,post_count,parent_id,spacy_entity,spacy_normalized
post_tag,1570,#18DaysInEgypt,18daysinegypt,1,0,MISC,18Days In Egypt
post_tag,1571,#idocs,idocs,1,0,,idocs
post_tag,1409,#mc11,mc11,1,0,MISC,mc11
post_tag,1410,#mc12,mc12,1,0,PERSON,mc12
post_tag,1411,#mc13,mc13,1,0,LOC,mc13
post_tag,143,.bat,bat,1,0,,bat
post_tag,144,.exe,exe,1,0,ORG,exe
post_tag,357,.htpasswd,htpasswd,2,0,PERSON,htpasswd
post_tag,371,.info,info,1,0,,info
post_tag,1801,11 mars 2011,11-mars-2011,1,0,,11 mars 2011
post_tag,1296,17 octobre 1961,17-octobre-1961,3,0,,17 octobre 1961
post_tag,1747,1962,1962,1,0,,1962
post_tag,852,2010,2010,1,0,,2010
post_tag,1412,2012,2012,1,0,,2012
post_tag,999,22 mars,22-mars,1,0,,22 mars
post_tag,1460,3 singes productions,3-singes-productions,1,0,,3 singes productions
post_tag,2059,37signals,37signals,1,0,,37signals
post_tag,1790,3D,3d,2,0,MISC,3D
post_tag,578,3WDOC,3wdoc,52,0,,3WDOC
post_tag,1023,3WDOC Studio,3wdoc-studio,41,0,ORG,3WDOC Studio
post_tag,1506,3WOC,3woc,1,0,,3WOC
post_tag,952,4x5 inches,4x5-inches,1,0,,4x5 inches
post_tag,361,5.x,5x,1,0,,5 x
post_tag,362,6.x,6x,1,0,,6 x
post_tag,1039,A navalla suiza,a-navalla-suiza,2,0,PERSON,A navalla suiza
post_tag,1315,abel ségrétin,abel-segretin,1,0,PERSON,abel ségrétin
post_tag,1197,absurde,absurde,1,0,,absurde
post_tag,2319,Accelerated Mobile Pages,accelerated-mobile-pages,1,0,MISC,Accelerated Mobile Pages
post_tag,2235,Accessibilité,accessibilite,1,0,LOC,Accessibilité
post_tag,1122,account,account,17,0,,account
post_tag,502,action,action,37,0,,action
post_tag,1000,actions,actions,1,0,,actions
post_tag,166,actionscript,actionscript,9,0,,actionscript
post_tag,1266,add track,add-track,2,0,,add track
post_tag,2397,Admin,admin,2,0,MISC,Admin
post_tag,419,Administration,administration,2,0,ORG,Administration
post_tag,231,Administrer,administrer,1,0,LOC,Administrer
post_tag,484,admob,admob,1,0,,admob
post_tag,299,Adobe,adobe,6,0,ORG,Adobe
post_tag,863,Adolph Zukor,adolph-zukor,1,0,PERSON,Adolph Zukor
post_tag,119,adresse IP,adresse-ip,1,0,MISC,adresse IP
post_tag,100,Adsense,adsense,3,0,MISC,Adsense
post_tag,2127,Advanced REST client,advanced-rest-client,1,0,ORG,Advanced REST client
post_tag,725,aérien,aerien,1,0,,aérien
post_tag,2420,AES,aes,1,0,MISC,AES
post_tag,328,afcomponents,afcomponents,1,0,PERSON,afcomponents
post_tag,687,Afghanistan,afghanistan,1,0,LOC,Afghanistan
post_tag,2471,AFP,afp,1,0,ORG,AFP
post_tag,830,Africascopie,africascopie,2,0,PERSON,Africascopie
post_tag,831,Afrique,afrique,3,0,LOC,Afrique
post_tag,1461,agat films,agat-films,1,0,,agat films
post_tag,1082,Agathe Films,agathe-films,2,0,PERSON,Agathe Films
post_tag,1512,agence photo VII,agence-photo-vii,1,0,,agence photo VII
post_tag,953,agence VU,agence-vu,2,0,LOC,agence VU
post_tag,3311,agentic browsers,agentic-browsers,1,0,LOC,agentic browsers
post_tag,2498,Aggie.io,aggie-io,1,0,MISC,Aggie io
post_tag,2194,Agile,agile,23,0,LOC,Agile
post_tag,2399,Agile Toolkit,agile-toolkit,3,0,MISC,Agile Toolkit
post_tag,3103,agile2,agile2,1,0,,agile2
post_tag,2547,AI,ai,11,0,LOC,AI
post_tag,3327,AI agents,ai-agents,1,0,LOC,AI agents
post_tag,3251,AI assistants,ai-assistants,2,0,LOC,AI assistants
post_tag,3248,AI ethics,ai-ethics,1,0,MISC,AI ethics
post_tag,3210,AI experiments in MLflow,ai-experiments-in-mlflow,1,0,LOC,AI experiments in M Lflow
post_tag,3245,AI exploration,ai-exploration,1,0,LOC,AI exploration
post_tag,3205,AI from POC to scaling,ai-from-poc-to-scaling,1,0,MISC,AI from POC to scaling
post_tag,3208,AI industrialization with MLflow,ai-industrialization-with-mlflow,1,0,MISC,AI industrialization with M Lflow
post_tag,3213,AI JSON validation,ai-json-validation,1,0,MISC,AI JSON validation
post_tag,3304,AI presentations,ai-presentations,1,0,LOC,AI presentations
post_tag,3038,AI Product Owner,ai-product-owner,3,0,MISC,AI Product Owner
post_tag,2549,AI takeover,ai-takeover,2,0,LOC,AI takeover
post_tag,3277,AI tools,ai-tools,1,0,MISC,AI tools
post_tag,3236,AI-Generated Text,ai-generated-text,1,0,MISC,AI Generated Text
post_tag,410,Aide,aide,2,0,LOC,Aide
post_tag,1040,AIR,air,1,0,MISC,AIR
post_tag,568,Airbnb,airbnb,1,0,ORG,Airbnb
post_tag,15,Ajax,ajax,2,0,PERSON,Ajax
post_tag,1918,Akamai,akamai,1,0,MISC,Akamai
post_tag,696,Al Jazeera,al-jazeera,1,0,PERSON,Al Jazeera
post_tag,2641,Al Sweigart,al-sweigart,1,0,PERSON,Al Sweigart
post_tag,1632,Alain Bauer,alain-bauer,1,0,PERSON,Alain Bauer
post_tag,1703,Alain Devalpo,alain-devalpo,1,0,PERSON,Alain Devalpo
post_tag,2275,Albert Camus,albert-camus,1,0,MISC,Albert Camus
post_tag,1316,alexander knetig,alexander-knetig,1,0,PERSON,alexander knetig
post_tag,1198,Alexandre Brachet,alexandre-brachet,4,0,PERSON,Alexandre Brachet
post_tag,1249,Alexis Sarini,alexis-sarini,4,0,PERSON,Alexis Sarini
post_tag,1413,Algérie,algerie,3,0,LOC,Algérie
post_tag,818,Allemagne,allemagne,1,0,LOC,Allemagne
post_tag,194,alpha,alpha,1,0,,alpha
post_tag,923,alves,alves,1,0,,alves
post_tag,478,Amazon,amazon,4,0,ORG,Amazon
post_tag,752,Amazonie,amazonie,2,0,LOC,Amazonie
post_tag,1448,aménagement urbain,amenagement-urbain,1,0,,aménagement urbain
post_tag,213,amfphp,amfphp,1,0,PERSON,amfphp
post_tag,1834,amour,amour,1,0,,amour
post_tag,1556,Amour 2.0,amour-2-0,1,0,MISC,Amour 2 0
post_tag,2318,AMP,amp,1,0,MISC,AMP
