taxonomy,id,name,slug,post_count,parent_id,spacy_entity,wikidata_id,wikidata_label,wikidata_description,proposed_breadcrumb
post_tag,1570,#18DaysInEgypt,18daysinegypt,1,0,MISC,,,,Home > Tags > #18DaysInEgypt
post_tag,1571,#idocs,idocs,1,0,,Q24301388,A Wrinkle in Time,2018 film directed by Ava DuVernay,Home > Tags > #idocs
post_tag,1409,#mc11,mc11,1,0,MISC,Q54904193,MC116,cell line,Home > Tags > #mc11
post_tag,1410,#mc12,mc12,1,0,PERSON,Q112692640,World Trade Organization Ministerial Conference of 2022,"WTO trade conference in Geneva, Switzerland",Home > Tags > #mc12
post_tag,1411,#mc13,mc13,1,0,LOC,Q3080207,MC-130 Hercules,airlifter series by Lockheed,Home > Tags > #mc13
post_tag,143,.bat,bat,1,0,,Q22889,Bath,"city in Somerset, England, United Kingdom",Home > Tags > .bat
post_tag,144,.exe,exe,1,0,ORG,Q134672,Exeter,"city in Devon, England",Home > Tags > .exe
post_tag,357,.htpasswd,htpasswd,2,0,PERSON,Q107387213,htpasswd,Python library,Home > Tags > .htpasswd
post_tag,371,.info,info,1,0,,Q709353,GNU Info,"stand-alone program, part of the Texinfo distribution, which is used to view Info files on a text terminal",Home > Tags > .info
post_tag,1801,11 mars 2011,11-mars-2011,1,0,,Q22664270,"March 11, 2011",Friday in March 2011,Home > Tags > 11 mars 2011
post_tag,1296,17 octobre 1961,17-octobre-1961,3,0,,Q200472,Paris massacre of 1961,"a crime committed in 1961 by the French National Police against hundreds of French Algerians, which was kept secret for decades",Home > Tags > 17 octobre 1961
post_tag,1747,1962,1962,1,0,,Q2764,1962,year,Home > Tags > 1962
post_tag,852,2010,2010,1,0,,Q1995,2010,calendar year,Home > Tags > 2010
post_tag,1412,2012,2012,1,0,,Q1990,2012,year,Home > Tags > 2012
post_tag,999,22 mars,22-mars,1,0,,Q2435,March 22,day of the year,Home > Tags > 22 mars
post_tag,1460,3 singes productions,3-singes-productions,1,0,,,,,Home > Tags > 3 singes productions
post_tag,2059,37signals,37signals,1,0,,Q2364173,Basecamp,American business,Home > Tags > 37signals
post_tag,1790,3D,3d,2,0,MISC,Q34929,three-dimensional space,geometric model in which a point is specified by three parameters,Home > Tags > 3D
post_tag,578,3WDOC,3wdoc,52,0,,,,,Home > Tags > 3WDOC
post_tag,1023,3WDOC Studio,3wdoc-studio,41,0,ORG,,,,Home > Tags > 3WDOC Studio
post_tag,1506,3WOC,3woc,1,0,,,,,Home > Tags > 3WOC
post_tag,952,4x5 inches,4x5-inches,1,0,,,,,Home > Tags > 4x5 inches
post_tag,361,5.x,5x,1,0,,Q100149475,5 × CD,music release comprised of five compact discs,Home > Tags > 5.x
post_tag,362,6.x,6x,1,0,,Q100152627,6 × CD,music release comprised of six compact discs,Home > Tags > 6.x
post_tag,1039,A navalla suiza,a-navalla-suiza,2,0,PERSON,Q12382300,A Navalla Suíza,,Home > Tags > A navalla suiza
post_tag,1315,abel ségrétin,abel-segretin,1,0,PERSON,,,,Home > Tags > abel ségrétin
post_tag,1197,absurde,absurde,1,0,,Q430727,absurdity,"extremely unreasonable, so as to be foolish or not taken seriously",Home > Tags > absurde
post_tag,2319,Accelerated Mobile Pages,accelerated-mobile-pages,1,0,MISC,Q25452619,Accelerated Mobile Pages,website publishing technology developed by Google,Home > Tags > Accelerated Mobile Pages
post_tag,2235,Accessibilité,accessibilite,1,0,LOC,Q555097,accessibility,"design approach that enables people to perceive, understand, and use digital or physical products",Home > Tags > Accessibilité
post_tag,1122,account,account,17,0,,Q899474,Accounts of Chemical Research,scientific Journal,Home > Tags > account
post_tag,502,action,action,37,0,,Q1914636,activity,series of actions done by an agent which results in an external change of state,Home > Tags > action
post_tag,1000,actions,actions,1,0,,Q826745,humanitarian aid,material or logistical assistance for people in need,Home > Tags > actions
post_tag,166,actionscript,actionscript,9,0,,Q234657,ActionScript,object-oriented programming language,Home > Tags > actionscript
post_tag,1266,add track,add-track,2,0,,,,,Home > Tags > add track
post_tag,2397,Admin,admin,2,0,MISC,Q4039395,Project:Administrators,Wikimedia project page regarding administrators,Home > Tags > Admin
post_tag,419,Administration,administration,2,0,ORG,Q5283295,administration,management of organization,Home > Tags > Administration
post_tag,231,Administrer,administrer,1,0,LOC,Q484876,chief executive officer,highest-ranking corporate officer,Home > Tags > Administrer
post_tag,484,admob,admob,1,0,,Q1318441,AdMob,mobile advertising company,Home > Tags > admob
post_tag,299,Adobe,adobe,6,0,ORG,Q11463,Adobe,American multinational computer software company,Home > Tags > Adobe
post_tag,863,Adolph Zukor,adolph-zukor,1,0,PERSON,Q361208,Adolph Zukor,Hungarian-American film producer (1873–1976),Home > Tags > Adolph Zukor
post_tag,119,adresse IP,adresse-ip,1,0,MISC,Q11135,IP address,label used to identify a network interface of a computer or other network node,Home > Tags > adresse IP
post_tag,100,Adsense,adsense,3,0,MISC,Q183480,Google AdSense,online platform for targeted advertisements,Home > Tags > Adsense
post_tag,2127,Advanced REST client,advanced-rest-client,1,0,ORG,,,,Home > Tags > Advanced REST client
post_tag,725,aérien,aerien,1,0,,Q3346336,aerial acrobatic,circus arts discipline,Home > Tags > aérien
post_tag,2420,AES,aes,1,0,MISC,Q190746,Advanced Encryption Standard,block cipher standard,Home > Tags > AES
post_tag,328,afcomponents,afcomponents,1,0,PERSON,,,,Home > Tags > afcomponents
post_tag,687,Afghanistan,afghanistan,1,0,LOC,Q889,Afghanistan,country in Central and South Asia,Home > Tags > Afghanistan
post_tag,2471,AFP,afp,1,0,ORG,Q40464,Agence France-Presse,international news agency headquartered in Paris,Home > Tags > AFP
post_tag,830,Africascopie,africascopie,2,0,PERSON,,,,Home > Tags > Africascopie
post_tag,831,Afrique,afrique,3,0,LOC,Q15,Africa,continent,Home > Tags > Afrique
post_tag,1461,agat films,agat-films,1,0,,Q20724296,Agat Films & Cie – Ex Nihilo,French film production company,Home > Tags > agat films
post_tag,1082,Agathe Films,agathe-films,2,0,PERSON,,,,Home > Tags > Agathe Films
post_tag,1512,agence photo VII,agence-photo-vii,1,0,,,,,Home > Tags > agence photo VII
post_tag,953,agence VU,agence-vu,2,0,LOC,Q2826571,Agence Vu,French photo agency,Home > Tags > agence VU
post_tag,3311,agentic browsers,agentic-browsers,1,0,LOC,,,,Home > Tags > agentic browsers
post_tag,2498,Aggie.io,aggie-io,1,0,MISC,,,,Home > Tags > Aggie.io
